"Genre","Longform Infographic","Dynamic Slideshow","Multimedia Visual Experience","Communicating Narrative and Explaining Data","Textual Narrative","Audio Narration","Labeling","Text Annotations on Visualizations","Tooltips","Element Highlighting","""Real-time"" Extension","Linking Separated Story Elements","Interaction","Color","Animation","Providing Context and Navigation","Next/Previous Buttons","Scrollytelling","Basic Scrolling","Breadcrumbs","Section Header Buttons","Menu Selection","Timeline","Geographic Map","Providing Controlled Exploration","Dynamic Queries","Embedded E.V.","Separate E.V.","Visual Encoding of Space-Time","Map-Independent Time Visualization","Multiple Coordinated Views","Animation or Slideshow","Layer Superimposition","Layer Juxtaposition","Title","Year","Source","Theme","Authors","Link"
"1","1","","","1","1","","1","","","","","","","","","1","","","1","","","","","","1","1","1","","1","","","1","","","America is more diverse than ever — but still segregated ","2018","Washington Post","Society & Health","Aaron Williams and Armand Emamdjomeh","https://www.washingtonpost.com/graphics/2018/national/segregation-us-cities/"
"1","1","","","1","1","","1","","","","","1","","1","","1","","","1","","","","","","","","","","1","","","","1","","The daily commute: travel times to cities around the world – mapped","2018","The Guardian","Society & Health","Ammar Kalia","https://www.theguardian.com/cities/gallery/2018/jan/10/daily-commute-travel-times-cities-world-pictures-maps-uk-china-mali"
"1","","1","","1","1","","1","0","","","","1","","","1","1","1","","","","","","","","1","1","1","","1","","1","1","","","Manhattan Population Explorer","2018","Manpopex","Society & Health","Fung, J.","https://manpopex.us/"
"1","1","","","1","1","","1","","","1","","1","1","1","","1","","1","1","1","","","","","1","1","","","1","","","","1","","Streetscapes","2018","Zeit online","Society & Health","Kai Biermann, Paul Blickle, Astrid Geisler, Flavio Gortana, Lennart Hildebrandt, Andreas Loos, Fabian Mohr, Karsten Polke-Majewski, Alexa Steinbrück, Julian Stahnke and Sascha Venohr","https://www.zeit.de/feature/streetdirectory-streetnames-origin-germany-infographic-english"
"1","1","","","1","1","","1","","1","1","","1","1","1","","1","","1","","1","","","1","","1","1","1","","1","","1","1","1","","Alt- oder Neubau? So wohnt Berlin","2018","Berliner Morgenpost","Society & Health","Marie-Louise Timcke, André Pätzold, David Wendler and Christopher Möller","https://interaktiv.morgenpost.de/so-alt-wohnt-berlin/"
"1","","","1","1","1","1","1","1","","","","","","","","1","","","1","","","","","1","","","","","1","","","","","1","Sieben Alltagsbegriffe, die aus dem Ersten Weltkrieg stammen","2018","Berliner Morgenpost","Society & Health","Marie-Louise Timcke, Simon Haas, André Pätzold, David Wendler, Moritz Klack and Christopher Möller","https://interaktiv.morgenpost.de/erster-weltkrieg-begriffe/"
"1","","1","","1","1","","1","","","","","1","","1","","1","1","","","","1","","","","1","1","","","1","","","1","","","Human Terrain ","2018","The Pudding","Society & Health","Matt Daniels","https://pudding.cool/2018/10/city_3d/"
"1","1","","","1","1","","1","","1","","","1","","1","1","1","","1","","1","","1","","","1","1","1","","1","","","","1","","Out of 54,868 homicides in 55 cities over the past decade, 50 percent did not result in an arrest.","2018","Washington Post","Society & Health","Steven Rich, Ted Mellnik, Kimbriell Kelly and Wesley Lowery","https://www.washingtonpost.com/graphics/2018/investigations/unsolved-homicide-database/?tid=graphics-story&city=tulsa"
"1","1","","","1","1","","1","","","","","1","","1","","1","","","1","","","","","","","","","","1","","","1","","","How the Internet Travels Across Oceans","2019","NYT","Society & Health","Adam Satariano","https://www.nytimes.com/interactive/2019/03/10/technology/internet-cables-oceans.html"
"1","1","","","1","1","","1","1","","1","","1","1","1","1","1","1","1","1","","","","","1","1","1","","","1","1","","1","","1","The Millions Who Left","2019","Zeit online","Society & Health","Christian Bangel, Paul Blickle, Elena Erdmann, Philip Faigle, Andreas Loos, Julian Stahnke, Julius Tröger and Sascha Venohr","https://www.zeit.de/politik/deutschland/2019-05/east-west-exodus-migration-east-germany-demography"
