Genre,Longform Infographic,Dynamic Slideshow,Multimedia Visual Experience,Communicating Narrative and Explaining Data,Textual Narrative,Audio Narration,Labeling,Text Annotations on Visualizations,Tooltips,Element Highlighting,"""Real-time"" Extension",Linking Separated Story Elements,Interaction,Color,Animation,Providing Context and Navigation,Next/Previous Buttons,Scrollytelling,Basic Scrolling,Breadcrumbs,Section Header Buttons,Menu Selection,Timeline,Geographic Map,Providing Controlled Exploration,Dynamic Queries,Embedded E.V.,Separate E.V.,Visual Encoding of Space-Time,Map-Independent Time Visualization,Multiple Coordinated Views,Animation or Slideshow,Layer Superimposition,Layer Juxtaposition,Theme
1,1,,,1,1,,1,,,,,,,,,1,,,1,,,,,,1,1,1,,1,,,1,,,Society & Health
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,,,,,,1,,,,1,,Society & Health
1,,1,,1,1,,1,0,,,,1,,,1,1,1,,,,,,,,1,1,1,,1,,1,1,,,Society & Health
1,1,,,1,1,,1,,,1,,1,1,1,,1,,1,1,1,,,,,1,1,,,1,,,,1,,Society & Health
1,1,,,1,1,,1,,1,1,,1,1,1,,1,,1,,1,,,1,,1,1,1,,1,,1,1,1,,Society & Health
1,,,1,1,1,1,1,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,,1,Society & Health
1,,1,,1,1,,1,,,,,1,,1,,1,1,,,,1,,,,1,1,,,1,,,1,,,Society & Health
1,1,,,1,1,,1,,1,,,1,,1,1,1,,1,,1,,1,,,1,1,1,,1,,,,1,,Society & Health
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,,,,,,1,,,1,,,Society & Health
1,1,,,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,,,,,1,1,1,,,1,1,,1,,1,Society & Health
1,1,,,1,1,,1,1,,,,1,,1,1,1,,,1,,,,,,,,,,1,,,1,,,Society & Health
1,1,,,1,1,,1,1,,,,1,,1,,1,,1,1,,,,,1,,,,,1,,,,1,,Society & Health
1,1,,,1,1,,1,,1,,,1,,1,,1,,,1,,,,,,1,1,,,1,,1,1,,,Society & Health
1,1,,,1,1,,1,,,,1,,,,,1,1,,1,,1,,1,,,,,,1,1,,,,,Society & Health
1,1,,,1,1,,1,1,1,,,1,,1,1,1,,1,1,,,,,1,,,,,1,1,,1,,,Society & Health
1,1,,,1,1,,1,1,,,,,,,,1,,,1,,,,,,,,,,1,,,1,,,Society & Health
1,1,,,1,1,,1,,,,,1,,1,1,1,,1,1,,,,,,,,,,1,,,1,,,Society & Health
1,1,,,1,1,,1,,1,,,1,,1,,1,,,1,,1,,,,1,1,,,1,1,,,,,Society & Health
1,1,,,1,1,,1,1,,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,Society & Health
1,1,,,1,1,,1,1,,,,1,,1,1,1,,1,,,,,,,,,,,1,,,1,1,,Society & Health
1,1,,,1,1,,1,,,,1,,,,,1,,,1,,,,,,1,,,1,1,1,,,,,Society & Health
1,1,,,1,1,,1,,1,1,,1,1,1,,1,,,1,,1,,,,1,1,1,,1,1,1,1,,,Society & Health
1,1,,,1,1,,1,1,,,,1,,1,1,1,,1,,,,,,,,,,,1,,,1,1,,Society & Health
1,1,,,1,1,,1,,,1,,1,,1,1,1,,,1,,,,,,,1,,,1,1,,1,,,Society & Health
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,,,,,,1,,,,,1,Society & Health
1,,,1,1,1,1,1,1,,,,1,,1,,1,,,1,,,,,1,,,,,1,,1,,,,Society & Health
1,1,,,1,1,,1,,,,,1,,1,,1,,1,1,,,,,,,,,,1,1,,,,1,Society & Health
1,1,,,1,1,,1,,,1,,1,,1,1,1,,1,1,1,,,,,,,,,1,,,1,1,,Society & Health
1,,,1,1,1,,1,1,,1,,,,,,1,,1,,,,,,,,,,,1,,,,1,,Society & Health
1,1,,,1,1,,,1,1,1,,1,,1,,1,,1,,,,,,,,,,,1,,,1,1,,Society & Health
1,1,,,1,1,,1,,,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,Society & Health
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,1,,,,,1,1,,,,,Society & Health
1,1,,,1,1,,1,,1,,,1,1,1,,1,,,1,,,,,,1,1,,,1,,,,1,,Society & Health
1,1,,,1,1,,1,1,,1,,1,,1,,1,,1,1,,,,,,,,,,1,1,,,,,Society & Health
1,1,,,1,1,,1,1,,1,,1,,1,,1,,1,1,,,,,1,,,,,1,,,1,1,,Society & Health
1,1,,,1,1,,1,,,,,1,1,1,,1,,1,,,,,,,1,1,1,,1,1,1,,,,Society & Health
1,1,,,1,1,,1,1,,,,1,,1,,1,,,1,,,,,,,,,,1,1,,,,,Society & Health
1,,,1,1,1,1,1,,,,,1,,1,1,1,,1,,,1,,,,,,,,1,,1,1,,,Society & Health
1,1,,,1,1,,1,1,1,1,,1,,1,,1,,,1,,,,,,,,,,1,,,,,1,Society & Health
1,1,,,1,1,,1,,1,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,Society & Health
1,1,,,1,1,,1,,1,,,1,1,1,1,1,,,1,,,,,,1,1,,,1,1,,1,1,,Society & Health
1,1,,,1,1,,1,1,,,,1,,1,1,1,,,1,,,,,,1,1,1,,1,,,1,1,,Society & Health
1,1,,,1,1,,1,1,,,,1,,1,,1,,,1,,,,,,,,,,1,1,,,1,,Society & Health
1,1,,,1,1,,1,1,1,1,,1,,1,1,1,,1,1,,,,,,,,,,1,1,1,1,,,Society & Health
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,1,,,,,1,1,1,,,,Society & Health
1,1,,,1,1,,1,1,,1,,1,,1,1,1,,1,,,,,,,,,,,1,1,,,,,Society & Health
1,1,,,1,1,,1,,,,,1,,1,,1,,1,,,,,,,,,,,1,,,1,,,Society & Health
1,1,,,1,1,,1,,1,,,,,,,1,,,1,,,,,,1,1,1,,1,1,,,,,Society & Health
1,1,,,1,1,,1,,1,,1,,,,,1,,,1,,,,,,,,,,1,,1,1,,,Climate
1,1,,,1,1,,1,,,,,1,,1,,1,,1,1,,,,,,,,,,1,,,1,1,,Climate
1,,,1,1,1,1,1,,,1,,,,,,1,1,1,1,,,,,,,,,,1,,,1,,,Climate
1,1,,,1,1,,1,1,,1,,1,1,1,1,1,,1,1,,,1,,,1,1,1,,1,,1,1,,,Climate
1,,1,,1,1,,,,,1,,1,,1,,1,1,,,,,,,,,,,,1,,,1,,,Climate
1,1,,,1,1,,1,1,,1,,1,,1,1,1,,,1,,,,,1,,,,,1,1,,1,,,Climate
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,1,,,,,1,,,,,1,Climate
1,,,1,1,1,1,1,1,,,1,,,,,1,1,,1,,1,,1,1,,,,,1,,,,1,,Climate
1,1,,,1,1,,1,1,,1,,1,,1,1,1,,1,,,1,,,1,1,1,1,,1,,,1,,,Climate
1,1,,,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,1,1,,Climate
1,1,,,1,1,,1,1,,1,,,,,,1,,1,1,,,,,,,,,,1,,,,1,,Climate
1,1,,,1,1,,1,1,,1,,1,1,1,1,1,,1,1,,,1,,,,,,,1,1,,1,1,,Climate
1,1,,,1,1,,1,1,1,1,,1,,1,,1,,,1,,,,,,,,,,1,,,1,,,Climate
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,1,,,,,1,,,,1,,Climate
1,1,,,1,1,,1,1,,1,,1,,1,1,1,,,1,,,,,1,,,,,1,1,,1,1,,Climate
1,1,,,1,1,,1,,,1,,1,,1,,1,,1,1,,,,,,1,1,,,1,,,,1,,Climate
1,,,1,1,1,,1,,,,,1,,1,1,1,,1,1,,,,,1,1,,1,,1,,,1,1,,Climate
1,1,,,1,1,,1,,,1,,1,,,1,1,,1,1,,,,,1,,,,,1,1,,1,1,,Climate
1,1,,,1,1,,1,1,,,,1,1,1,1,1,,1,1,,,1,,,1,1,,,1,1,,,,1,Climate
1,1,,,1,1,,1,1,,1,,1,,1,1,1,,1,1,,,,,,,,,,1,1,,1,,,Climate
1,1,,,1,1,,1,,,,,,,,,1,,,1,,,,,,1,,,1,1,,,,1,,Climate
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,,,,,,1,,,,1,,Climate
1,,,1,1,1,,1,1,,,,1,,1,,1,,,1,,,,,,,,,,1,,,1,,1,Climate
1,,,1,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,,,,,,1,,,1,,,Climate
1,,,1,1,1,,1,1,,1,,1,,1,1,1,,1,1,,,,,,,,,,1,,,1,,1,Climate
1,1,,,1,1,,,1,,1,,1,,1,1,1,,1,,,,,,,,,,,1,,,1,,,Climate
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,,,,,,1,1,,,,,Climate
1,1,,,1,1,,1,,,,,1,,1,1,1,,1,1,,,,,1,,,,,1,1,,,,,Climate
1,1,,,1,1,,1,,1,1,,1,,1,,1,,,1,,,,,,1,1,1,,1,1,1,1,,,Climate
1,1,,,1,1,,,1,,,,1,,1,,1,,1,1,,,,,,,,,,1,,,1,,,Climate
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,1,,,,,1,,,,,1,Climate
1,1,,,1,1,,1,1,,1,,1,,1,1,1,,1,1,,,,,1,,,,,1,,,1,1,,Climate
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,,,,,,1,,,,,1,Climate
1,1,,,1,1,,1,,1,,,1,,1,1,1,,,1,,,,,,,,,,1,,,1,1,,Climate
1,1,,,1,1,,1,,,,,1,,1,,1,,1,1,,,1,,,,,,,1,,,1,,,Climate
1,1,,,1,1,,1,,,1,,1,,1,,1,,,1,,,,,,,,,,1,,,1,1,,Climate
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,1,,,,,1,,,,1,,Climate
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,1,,,1,,,,,1,,,1,,,Climate
1,1,,,1,1,,1,1,,1,,1,,1,1,1,,1,1,,,,,,,,,,1,,,1,,,Climate
1,1,,,1,1,,1,,,,,,,,,1,,,1,,,,,,,,,,1,,,1,1,,Climate
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,,,,,,1,,,,,1,Climate
1,1,,,1,1,,1,1,,1,,1,,1,,1,,1,1,,,,,1,,,,,1,,,1,1,,Climate
1,1,,,1,1,,1,,,1,,1,,1,,1,,1,,,,,,,,,,,1,,1,1,,,Climate
1,,,1,1,1,1,1,,,,1,,,,,1,,,1,,,,,1,1,,,1,1,1,,,,1,Climate
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,1,,,,,1,1,,1,1,,Climate
1,,1,,1,1,,1,,1,,1,1,1,1,,1,1,,,,,1,1,1,1,,1,,1,,,1,,,Climate
1,1,,,1,1,,1,,,,,1,,1,1,1,,1,,,,,,,,,,,1,,,,1,,Election
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,,,,,,1,,,,,1,Election
1,1,,,1,1,,1,,,1,,,,,,1,,,1,,,,,,,,,,1,,,,,1,Election
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,,,,,,1,1,,,,,Election
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,,,,,,1,1,,,,,Election
1,,,1,1,1,1,1,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,1,,Election
1,1,,,1,1,,1,,,1,,1,,1,1,1,,1,1,,,,,,,,,,1,,,1,,1,Election
1,1,,,1,1,,1,,,,,1,,1,,1,1,,1,,,,,,1,1,,,1,,,1,,,Election
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,,,,,,1,,,,1,,Conflicts
1,,,1,1,1,1,,,1,1,,1,,1,1,1,,1,,,,,,,1,1,1,,1,,,1,1,,Conflicts
1,1,,,1,1,,1,1,,,,1,,1,,1,,,1,,,,,,,,,,1,,,1,1,,Conflicts
1,1,,,1,1,,1,1,1,1,,1,,1,1,1,,1,1,,,,,,,,,,1,,,,,1,Conflicts
1,1,,,1,1,,1,1,,1,,1,,1,1,1,,1,1,,,,,,,,,,1,1,,1,1,,Conflicts
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,,,,,,1,1,,,,,Conflicts
1,1,,,1,1,,1,,,1,,1,,1,1,1,,1,,,,,,,,,,,1,,,,1,,Conflicts
1,1,,,1,1,,1,1,,,,1,,1,,1,,,1,,,,,,,,,,1,1,,1,1,,Conflicts
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,,,,,,1,,,,,1,Conflicts
1,1,,,1,1,,1,1,,1,,1,,1,1,1,,,1,,,,,,,,,,1,,,1,1,,Conflicts
1,1,,,1,1,,1,,,1,,1,,1,,1,,,1,,,,,1,,,,,1,,,,1,,Conflicts
1,1,,,1,1,,1,,,,,1,,1,,1,,,1,,,,,,,,,,1,1,,,,1,Conflicts
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,1,,,,,1,,,,1,,Conflicts
1,1,,,1,1,,1,1,,1,1,1,,1,,1,,,1,,,,,1,,,,,1,,,,1,1,Conflicts
1,,,1,1,1,,1,1,,1,,1,,1,,1,,1,,,,,,1,,,,,1,,,1,,,Conflicts
1,1,,,1,1,,1,,,1,1,1,,1,,1,,,1,,,,,1,,,,,1,,,,,1,Conflicts
1,1,,,1,1,,1,1,,1,,1,,1,,1,,,1,,,,,,,,,,1,1,,,,,Conflicts
1,1,,,1,1,,1,,,,,1,,1,,1,,1,,,,,,,,,,,1,,,,,1,Conflicts
1,,,1,1,1,,1,,,1,,1,,1,1,1,,1,,,,,,,,,,,1,,,1,1,,Conflicts
1,1,,,1,1,,1,1,,1,1,1,,1,,1,,,1,,,,,,,,,,1,,,,1,,Conflicts
1,1,,,1,1,,1,1,,1,1,,,,,1,,,1,,,,,,,,,,1,1,,,1,,Conflicts
1,1,,,1,1,,1,1,,,,1,,1,,1,,,1,,,,,,,,,,1,,,1,1,,Conflicts
1,,,1,1,1,1,1,1,,1,,1,,1,,1,,,1,,,,,1,,,,,1,,1,,1,,Conflicts
1,,,1,1,1,1,1,1,,,1,,,,,1,,,1,,1,,1,1,,,,,1,,,,1,1,Conflicts
1,1,,,1,1,,1,,,1,,1,,1,,1,,,1,,,,,,,,,,1,1,,,,1,Conflicts
1,1,,,1,1,,1,1,,,,1,,1,,1,,,1,,,,,,,,,,1,,,,1,,Conflicts
1,,,1,1,1,1,1,1,,1,1,1,,1,,1,,,1,,,,,1,,,,,1,1,,,1,1,Conflicts
1,1,,,1,1,,1,1,,1,1,,,,,1,,,1,,,,,,,,,,1,,,,1,,Conflicts
